method,source,chaos_method,n,mapping_accuracy,exact_record_rate,mean_service_ms,p95_end_to_end_ms
regex,clinical,schema_alter,261,0.8850574712643678,0.7126436781609196,0.022717702431631903,107.041517
regex,finnhub,json_manip,246,0.9176829268292683,0.6707317073170732,0.018923805445259245,67.61199425
regex,finnhub,qwen,297,0.8863636363636364,0.696969696969697,0.01952914025101241,67.6380322
regex,finnhub,schema_alter,207,0.8985507246376812,0.7971014492753623,0.019321422894922096,67.61867950000001
regex,football_uefa,json_manip,237,0.8364167478091529,0.0,0.06078265402082983,137.0087876
regex,football_uefa,qwen,228,0.8076923076923077,0.0,0.059817696868432385,135.84546575
regex,football_uefa,schema_alter,285,0.8024291497975709,0.0,0.061409249143149436,136.8762236
regex,hockey_nhl,json_manip,255,0.8755656108597285,0.0,0.13853461895967495,130.7630127
regex,hockey_nhl,qwen,243,0.8632478632478633,0.0,0.14142230075628723,129.8370889
regex,hockey_nhl,schema_alter,252,0.8443223443223443,0.0,0.1412381749266075,129.74912675
regex,openf1,json_manip,231,0.8753246753246754,0.025974025974025976,0.04185329658367067,40.578899
regex,openf1,qwen,243,0.8148148148148148,0.04938271604938271,0.04240655101698589,38.5835102
regex,openf1,schema_alter,276,0.8565217391304348,0.0,0.041609364463929356,39.084714500000004
regex,openweather,json_manip,210,0.9071428571428571,0.6285714285714286,0.018860119735346445,103.957594
regex,openweather,qwen,258,0.8924418604651163,0.7325581395348837,0.018715425383299025,104.01228510000001
regex,openweather,schema_alter,282,0.8457446808510638,0.6914893617021277,0.018732955130092543,103.95003655
regex,smartcity_transit,json_manip,276,0.6842391304347826,0.0,0.10192581544349152,151.79685025
regex,smartcity_transit,qwen,231,0.6753246753246753,0.0,0.10157156245900842,152.765167
regex,smartcity_transit,schema_alter,243,0.6876543209876543,0.0,0.10131170374306747,151.8266213
regex,spacex,json_manip,255,0.9205882352941176,0.6823529411764706,0.020448984110926504,90.6394447
regex,spacex,qwen,237,0.8354430379746836,0.5949367088607594,0.02033119709249147,90.8081262
regex,spacex,schema_alter,258,0.8372093023255814,0.6744186046511628,0.020356844990154763,90.8187111
